EQ,0,16661857,206,1,0.9475262,1
EQ,0,16661859,138,1,0.9364623,1
EQ,0,16661861,80,1,0.5236937,1
EQ,0,16661863,315,1,0.5264763,1
EQ,0,16661865,320,1,0.136531,1
EQ,0,16661866,253,1,0.7913683,1
EQ,0,16661867,331,1,0.9983135,1
EQ,0,16661868,107,1,0.4878363,1
EQ,0,16661870,254,1,0.3851929,1
EQ,0,16661872,223,1,0.8516943,1
EQ,0,16661874,210,1,0.7403867,1
EQ,0,16661876,206,1,0.147156,1
EQ,0,16661878,148,1,0.09682938,1
EQ,0,16661880,253,1,0.9638127,1
EQ,0,16661882,323,1,0.8561674,1
EQ,0,16661884,144,1,0.7704678,1
EQ,0,16661886,223,1,0.6151036,1
EQ,0,16661888,130,1,0.768635,1
EQ,0,16661890,104,1,0.3728926,1
EQ,0,16661892,151,1,0.2772655,1
EQ,0,16661893,237,1,0.1303395,1
EQ,0,16661894,161,1,0.7690702,1
EQ,0,16661895,328,1,0.5843664,1
EQ,0,16661896,116,1,0.7841025,1
EQ,0,16661897,74,1,0.5750304,1
EQ,0,16661898,100,1,0.2325777,1
EQ,0,16661899,62,1,0.8366228,1
EQ,0,16661900,272,1,0.4221323,1
EQ,0,16661901,145,1,0.07548075,1
EQ,0,16661902,269,1,0.2405252,1
EQ,0,16661903,237,1,0.8732489,1
EQ,0,16661904,61,1,0.09665626,1
EQ,0,16661905,345,1,0.8382,1
EQ,0,16661906,345,1,0.9470377,1
EQ,0,16661907,284,1,0.4550384,1
EQ,0,16661908,46,1,0.5019657,1
EQ,0,16661909,110,1,0.1659462,1
EQ,0,16661910,273,1,0.2467418,1
EQ,0,16661911,17,1,0.01034163,1
EQ,0,16661912,214,1,0.4182792,1
EQ,0,16661913,75,1,0.8235718,1
EQ,0,16661914,156,1,0.08885955,1
EQ,0,16661915,85,1,0.2910181,1
EQ,0,16661917,235,1,0.386097,1
EQ,0,16661919,317,1,0.7029439,1
EQ,0,16661921,226,1,0.9282482,1
